name;location;price_range_min;price_range_max;room_with_open_air_bath;rental_open_air_tubs;rental_indoor_tubs;rental_both_indoor_outdoor_tubs;tripadvisor_rating;tags;description;transportation;lat;lon;url
Takinoya;162 Noboribetsu Onsen-cho, Noboribetsu -shi, Hokkaido, 059-0551 Japan;36300;59400;12;False;False;False;4.5;['Rooms with private open-air baths', 'Enjoy hot spring in snow', 'Mountain view', 'Hokkaido Region', 'Hokkaido', 'Noboribetsu Onsen', 'Sapporo (New Chitose Airport)'];Book Takinoya in Noboribetsu Onsen (Hokkaido)It is one of the representative high-class onsen ryokans of Noboribetsu. Authentic Japanese food provided in private rooms enjoys high reputation. Open-air baths and guest rooms facing lush greenery are also lovely.;(1) One hour 20 minutes by bus from New Chitose Airport to Noboribetsu Onsen, then 5 minutes on foot from there (2) One hour 40 minutes by bus from Sapporo Station Bus Terminal to Noboribetsu Onsen, then 5 minutes on foot from there (3) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, 45 minutes by JR Limited Express from Minami-Chitose Station to Noboribetsu Station, then 15 minutes by bus to Noboribetsu Onsen, and 5-min walk from there (4) One hour 15 minutes by JR Limited Express from Sapporo Station to Noboribetsu Station, then 15 minutes by bus to Noboribetsu Onsen, and 5-min walk from there The required times may slightly vary depending on the time of day. | (1) One hour 20 minutes by bus from New Chitose Airport to Noboribetsu Onsen, then 5 minutes on foot from there | (2) One hour 40 minutes by bus from Sapporo Station Bus Terminal to Noboribetsu Onsen, then 5 minutes on foot from there | (3) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, 45 minutes by JR Limited Express from Minami-Chitose Station to Noboribetsu Station, then 15 minutes by bus to Noboribetsu Onsen, and 5-min walk from there | (4) One hour 15 minutes by JR Limited Express from Sapporo Station to Noboribetsu Station, then 15 minutes by bus to Noboribetsu Onsen, and 5-min walk from there;42.4947756;141.1451398;https://selected-ryokan.com/ryokan/takinoya_noboribetsu_hokkaido.html
Onyado Kawasemi;2-14 Hisuinosato, Iizaka Onsen, Fukushima-shi, Fukushima, Japan;53400;100300;6;False;False;False;4.4;['Rooms with private open-air baths', 'Tohoku Region', 'Fukushima', 'Anahara Onsen', 'Fukushima (Fukushima Airport)'];Book Onyado Kawasemi in Iizaka Anahara Onsen (Fukushima) This culinary inn offers unique Japanese cuisine served in guest rooms, providing an experience unlike any other. The inn introduces a new style with the invitation: Why not come for an overnight stay and enjoy a meal? Of the guest rooms, the six on the first floor feature private open-air hot springs, while the six rooms on the second floor offer views of the natural forest garden and surrounding mountains. The facility also includes large gender-segregated baths.;(1) One hour 30 minutes by JR Shinkansen from Tokyo Station to Fukushima Station, or (2) 40 minutes by bus from Fukushima Airport to Koriyama Station, 15 minutes by JR Shinkansen from Koriyama Station to Fukushima Station, then 25 minutes by Fukushima Transportation Iizaka Line to Iizaka Onsen Station and 10-min shuttle bus ride from there (Shuttle service runs from 3 pm to 6 pm every day) The required times may slightly vary depending on the time of day. | (1) One hour 30 minutes by JR Shinkansen from Tokyo Station to Fukushima Station, or (2) 40 minutes by bus from Fukushima Airport to Koriyama Station, 15 minutes by JR Shinkansen from Koriyama Station to Fukushima Station, then 25 minutes by Fukushima Transportation Iizaka Line to Iizaka Onsen Station and 10-min shuttle bus ride from there (Shuttle service runs from 3 pm to 6 pm every day);37.764404415043;140.432206737079;https://selected-ryokan.com/ryokan/onyado-kawasemi_iizaka-onsen_fukushima_tohoku.html
Kawaguchiko Fufu;2211-1 Kawaguchi, Fujikawaguchiko-machi, Minamitsuru-gun, Yamanashi, Japan;57000;178800;1;False;False;False;4.5;['Rooms with private open-air baths', 'All rooms have open-air hot spring', 'Mt. Fuji view', 'Tokyo suburbs', 'Yamanashi', 'Mt. Fuji Lake Kawaguchiko Onsen'];Book Kawaguchiko Fufu in Mt. Fuji Lake Kawaguchi Onsen (Yamanashi) Small luxury ryokan with the magnificent view of Mount Fuji. All rooms have open-air hot spring baths.;(1) One hour 45 minutes by bus from Shinjuku Expressway Bus Terminal (Busta Shinjuku) to Kawaguchiko Station, then 15 minutes by taxi from there (2) One hour by JR Limited Express from Shinjuku Station to Otsuki Station, then 50 minutes by Fujisan Express to Kawaguchiko Station, and 15-min taxi ride from there Book tickets here: Tokyo Station > Kawaguchiko Station Book bus tickets (Return trip) Akihabara Station > Kawaguchiko Station Book bus tickets (Return trip) Narita Airport 1, 2, 3 > Kawaguchiko Station Book bus tickets (Return trip) The required times may slightly vary depending on the time of day. | (1) One hour 45 minutes by bus from Shinjuku Expressway Bus Terminal (Busta Shinjuku) to Kawaguchiko Station, then 15 minutes by taxi from there | (2) One hour by JR Limited Express from Shinjuku Station to Otsuki Station, then 50 minutes by Fujisan Express to Kawaguchiko Station, and 15-min taxi ride from there;35.5264986;138.7698553;https://selected-ryokan.com/ryokan/kawaguchiko-fufu_mtfuji_yamanashi_tokyo-suburbs.html
Akariya Geihanro;41-6 Kitakoken, Inuyama, Inuyama-shi, Aichi, Japan;45100;85800;1;True;False;False;4.0;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have open-air hot spring', 'River view', 'Nagoya Chubu & Hokuriku Region', 'Aichi', 'Nagoya Onsen', 'Nagoya (Chubu Centrair International Airport)'];Book Akariya Geihanro in Inuyama Nagoya Onsen (Aichi) This 10-room ryokan is a 25-minute train ride from Nagoya, and is situated beside the Kiso River. All guest rooms come with private semi-open-air onsen baths, and possess a commanding view of the river and Inuyama Castle, which is a designated National Treasure of Japan. Both breakfast and dinner are Japanese food that makes use of local Wagyu beef, fish and other ingredients, and are served in an individual dining room.;(1) One hour by Meitetsu SKY Limited Express from Chubu International Airport (Centrair) to Inuyama Station, then 5 minutes by taxi from there (2) 25 minutes by Meitetsu Inuyama Line from Meitetsu Nagoya Station (next to JR Nagoya Station) to Inuyama Station, then 5 minutes by taxi from there The required times may slightly vary depending on the time of day. | (1) One hour by Meitetsu SKY Limited Express from Chubu International Airport (Centrair) to Inuyama Station, then 5 minutes by taxi from there | (2) 25 minutes by Meitetsu Inuyama Line from Meitetsu Nagoya Station (next to JR Nagoya Station) to Inuyama Station, then 5 minutes by taxi from there;35.387397257326;136.937671861117;https://selected-ryokan.com/ryokan/akariya-geihanro_inuyama-nagoya_aichi_chubu.html
Biwako Hanakaido, Lake Biwa;1-1-3 Ogoto, Otsu-shi, Shiga, Japan;23100;79200;4;True;False;False;4.4;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'Lake view', 'Osaka Kyoto Kansai Region', 'Kyoto Onsen', 'Shiga'];Book Biwako Hanakaido in Kyoto Lake Biwa Onsen (Shiga) Located on a hill facing Lake Biwa, this onsen ryokan is 20-minute train ride from the Kyoto Station. After having undergone renovation in 2019, its fourth floor became an exclusive floor for guest rooms with private open-air onsen baths. You can also enjoy hot spring at the gender-segregated large public baths (with open-air baths) and a rental bath outside the rooms for private use. Kaiseki meals making use of Omi beef and fish from Lake Biwa are a feast for the eyes and the stomach.;;35.099589;135.90151;https://selected-ryokan.com/ryokan/biwako-hanakaido_ogoto_shiga_kyoto_kansai.html
Migiwatei Ochi Kochi;629 Tomo, Tomo-cho, Fukuyama-shi, Hiroshima, Japan;31900;94600;1;True;False;False;4.5;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have open-air hot spring', 'Sea view', 'Hiroshima Chugoku Region', 'Hiroshima', 'Tomonoura Onsen', 'Hiroshima (Hiroshima Airport)'];Book Migiwatei Ochi Kochi in Tomonoura Onsen (Hiroshima) This onsen ryokan is located at Tomonoura, which is a port town known as the inspiration for Ponyo, a famous animated film by Studio Ghibli. Each guest room comes with a wood deck and a private open-air onsen bath that face the expansive ocean. There are also two sea-facing rental open-air baths outside the rooms for private use. Guests here can enjoy spa hopping at two nearby onsen accommodations of the same group, called Hotel Ofutei and Keishokan Sazanamitei. As to dining, you can eat authentic Japanese meals making use of seafood from the nearby waters, like red seabream and abalone, while looking at the fabulous view of the sea.;(1) 25 minutes by JR Shinkansen from Hiroshima Station to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required) (2) One hour 5 minutes by bus from Hiroshima Airport to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required) (3) One hour 5 minutes by JR Shinkansen from Shin-Osaka Station to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required) The required times may slightly vary depending on the time of day. | (1) 25 minutes by JR Shinkansen from Hiroshima Station to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required) | (2) One hour 5 minutes by bus from Hiroshima Airport to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required) | (3) One hour 5 minutes by JR Shinkansen from Shin-Osaka Station to Fukuyama Station, then 30 minutes by shuttle bus (Advance booking required);34.38218113239;133.3833699922;https://selected-ryokan.com/ryokan/migiwatei-ochi-kochi_tomonoura_hiroshima_chugoku.html
Bettei Oborozukiyo;4-4 Dogosagidanicho, Matsuyama-shi, Ehime, Japan;50600;86600;1;False;False;False;4.4;['Rooms with private open-air baths', 'All rooms have open-air hot spring', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Shikoku Region', 'Ehime', 'Dogo Onsen', 'Ehime (Matsuyama Airport)'];Book Bettei Oborozukiyo in Dogo Onsen (Ehime) All rooms are suite that include open-air hot spring baths. A cozy little establishment with a total of nineteen rooms.;(1) 40 minutes by bus from Matsuyama Airport to Dogo Onsen Station, then 5 minutes by shuttle bus (2) One hour 10 minutes by Super Jet (or two hours 40 minutes by Cruise Ferry) from Hiroshima Port to Matsuyama Sightseeing Port, then 30 minutes by taxi (you can also go to the Dogo Onsen Station by bus and railways) The required times may slightly vary depending on the time of day. | (1) 40 minutes by bus from Matsuyama Airport to Dogo Onsen Station, then 5 minutes by shuttle bus | (2) One hour 10 minutes by Super Jet (or two hours 40 minutes by Cruise Ferry) from Hiroshima Port to Matsuyama Sightseeing Port, then 30 minutes by taxi (you can also go to the Dogo Onsen Station by bus and railways);33.853937081925;132.786332561069;https://selected-ryokan.com/ryokan/bettei-oborozukiyo_dogo_ehime_shikoku.html
Yufuin Gettoan;295-2 Yufuin-cho, Kawakami, Yufu-shi, Oita, Japan;35500;65600;1;False;False;False;4.4;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have open-air hot spring', 'Safe ryokans under the COVID-19 (coronavirus) pandemic', 'Mountain view', 'Kyushu & Okinawa Region', 'Oita', 'Yufuin Onsen', 'Oita (Oita Airport)'];Book Yufuin Gettoan in Yufuin Onsen (Oita) An inn with traditional Japanese-style guest rooms dotted throughout a ten thousand square meter Japanese garden. All rooms include open-air baths.;(1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 8 minutes by taxi The required times may slightly vary depending on the time of day. | (1) 55 minutes by bus from Oita Airport to Yufuin Station, (2) one hour 40 minutes by bus from Fukuoka Airport to Yufuin Station, or (3) two hours 10 minutes by JR Limited Express from Hakata Station to Yufuin Station, then 8 minutes by taxi;33.280633722097;131.35073558956;https://selected-ryokan.com/ryokan/yufuin-gettoan_oita_kyushu.html
Akan Tsuruga Besso Hinanoza;2-8-11,Akanko-onsen Akan-cho, Akan, Hokkaido, Japan;46200;96800;1;False;True;True;4.4;['Rooms with private open-air baths', 'Rental hot spring baths for private use', 'All rooms have open-air hot spring', 'Enjoy hot spring in snow', 'Lake view', 'Hokkaido Region', 'Hokkaido', 'Lake Akan Onsen', 'Kushiro (Kushiro Airport)', 'Nemuro (Nakashibetsu Airport)'];Book Akan Tsuruga Besso Hinanoza in Lake Akanko Onsen (Hokkaido) All rooms include open-air hot spring baths. Small luxury ryokan with the magnificent view of the lake. Builton the shores of Lake Akan (Akan National Park), one of the only places in the world where Marimo moss ball grows.;(1) One hour 15 minutes by bus (Ticket Booking) from Kushiro Airport to Lake Akanko Bus Center, then 1 minutes by shuttle bus (2) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, three hours 30 minutes by JR Limited Express from Minami-Chitose Station to Kushiro Station, then two hours by bus to Lake Akanko Bus Center, and 1-min shuttle bus ride from there (3) One hour 40 minutes by taxi from Nakashibetsu Airport The required times may slightly vary depending on the time of day. | (1) One hour 15 minutes by bus (Ticket Booking) from Kushiro Airport to Lake Akanko Bus Center, then 1 minutes by shuttle bus | (2) 3 minutes by JR Chitose Line from New Chitose Airport to Minami-Chitose Station, three hours 30 minutes by JR Limited Express from Minami-Chitose Station to Kushiro Station, then two hours by bus to Lake Akanko Bus Center, and 1-min shuttle bus ride from there | (3) One hour 40 minutes by taxi from Nakashibetsu Airport;43.010351202921;141.682022931837;https://selected-ryokan.com/ryokan/lake-akan-tsuruga-besso-hinanoza_hokkaido.html
Tendoso;2-2-18 Kamata, Tendo-shi, Yamagata, Japan;50600;141200;10;False;False;False;4.1;['Rooms with private open-air baths', 'All rooms have hot spring baths', 'Enjoy hot spring in snow', 'Tohoku Region', 'Yamagata', 'Tendo Onsen', 'Yamagata (Yamagata Airport)'];Book Tendoso in Tendo Onsen (Yamagata) The ryokan features a total of 11 guest rooms, each with its own hot spring. These include detached single-story accommodations in the Sukiya-zukuri style and rooms with gardens featuring cherry blossoms. Dinner features kaiseki cuisine, including grilled eela nod to the ryokans history as an eel restaurantalongside local brand beef such as Yonezawa beef. Breakfast also includes traditional Japanese dishes. A highly rated inn located in Tendo Onsen, midway between Ginzan Onsen and Zao.;(1) 20 minutes by shared-taxi from Yamagata Airport (Advance booking required) (2) Three hours by JR Shinkansen from Tokyo Station to Tendo Station, then 5 minutes by taxi (or 20 minutes on foot) The required times may slightly vary depending on the time of day. | (1) 20 minutes by shared-taxi from Yamagata Airport (Advance booking required) | (2) Three hours by JR Shinkansen from Tokyo Station to Tendo Station, then 5 minutes by taxi (or 20 minutes on foot);38.358604865316;140.386327719496;https://selected-ryokan.com/ryokan/tendoso_tendo-onsen_yamagata_tohoku.html
